504791,"version-bump.pl doesn't know how to bump comm-central branch version files,match any $(app)/config/version*.txt file
As comm-central allows both builds with a branch repository and mozilla-central, we have multiple $(app)/config/version*.txt files to state different versions based on the platform we are building with.
I just wanted to start the SeaMonkey 2.0b1 builds and the tag factory failed with version-bump.pl not knowing what the version-191.txt file is that we need to bump there.
The solution is to match any $(app)/config/version*.txt file in the part of version-bump.pl that determines in what way to bump that file.
I have tested that this patch works correctly with both version.txt and version-191.txt files and I need it ASAP to be able to build SeaMonkey 2.0 Beta 1.",Release Engineering,"my $versionTxt = catfile($appName, 'config', 'version.txt');",5,11,,,
535304,"mobile release automation should be bumping mobile-browser versions Currently, the automation relies on sourceRepoRevision version to have the ""release"" version number (eg, 1.0 instead of 1.0pre). We shouldn't rely on that. Rather, we should bump confvars.sh in bumpFiles and version-bump.pl should be updated to be able to bump it. There may be additional complication due to the fact that we have different version numbers on different mobile platforms.",Release Engineering,MOZ_APP_VERSION=1.0a4pre，  MOZ_APP_VERSION=1.1a1pre,1,,,,
582637,"Bump application.ini MinVersion to 1.9.2.0 etpack requires Gecko 1.9.2 (and install.rdf does list 3.6 as the Firefox minVersion), but application.ini still lists 1.9.1 as MinVersion, causing errors when people use cfx with an old XULRunner like this person did: BTW, separately I tried to update MaxVersion to 2.0b3pre, but Minefield immediately exits after it starts.  Don't know what's going on there.",Add-on SDK,MinVersion=1.9.1.0,1,,,,
607010,set android:versionCode (in AndroidManifest.xml) to something other than 1 My reading of the docs is that it should essentially be monotonically increasing. I think we should just set it to our build id (the date).,core,"android:versionCode=""1""",1,,,,
608484,"Port |Bug 595805 - Update required cairo version to 1.10 | to comm-central This bug only fixes required cairo version string in configure script. Cairo in m-c has been already updated to 1.10 which have new function. So the configure
script in c-c should require cairo-1.10.",MailNews Core,CAIRO_VERSION=1.8.8,1,,,,
688370,"Blocklist all Flash versions < 10.3.183.10 on Intel due to 0-day Raises minimum permitted version to 10.3.183.10 on Intel

http://www.adobe.com/support/security/bulletins/apsb11-26.html reports another Flash 0-day, affecting all versions older than 10.3.183.7 and suggesting users upgrade to 10.3.183.10.

Per bug 662666 comment 15 et seq, I believe this meets our criteria for raising the minimum version; the attached patch does so.  (Can I get a blanket-sr for doing this for 0-days in the future, at least as long as Flash 10.3 is supported and we don't need new code to handle Flash 11 being 10.6+ only?)",Camino Graveyard,"static const VersionStruct minFlashVersion = { 10, 3, 181, 26 };",？,1,,,
713018,"version-bump.pl doesn't handle 2-digit major version
RESOLVED FIXED,build/tools/scripts/release/version-bump.pl doesn't handle a 2-digit major version and fails on 10.0 beta.",Release Engineering,my $VERSION_REGEXP = '\d\.\d[\d\.]*',1,12,,,
731326,"bump mozharness to version 0.5 Here's the summary of the delta between 0.4 and 0.5:

* Retired Maemo scripts (Maemo tier 3)
* Supported Android native work
** Android single locale repacks
** Added Android signing with passphrase verification, signature verification, and update snippet creation
* peptest
* improved virtualenv support, with real-life mozbase usage in peptest
* fixed actions-in-config-files
* precompiled error_list regexes
* separated the output parser from run_command() so we can
** parse output from subprocess or get_output_from_command(),
** eventually add context lines to output parsing, and
** potentially split parallel actions into their own objects
* added chunking support to split up jobs
* improved OSMixin and ShellMixin methods
* query_exe() and which() support to specify or find executables
* add_failure(), query_failure(), and summarize_success_count() support to track status over a list of tasks
* added a BuildbotMixin to tie into our buildbot infrastructure
* Added a setup.py
* Added a pyflakes call and Debian/Ubuntu support to unit.sh

It's overdue.",Release Engineering," version = (0,4)",1,,,,
816675,"update sutagent to version 1.15 oh the time has come for another sutagent upgrade, this time with a watcher upgrade as well.

SUTAgentAndroid:
http://people.mozilla.org/~jmaher/sutagent/SUTAgentAndroid1.15.apk

Watcher:
http://people.mozilla.org/~jmaher/sutagent/watcher1.15.apk",Release Engineering,"target_version = ""1.14""",1,,,,
868192,"Standardize the version of hg used on Mac slaves We should update the Mac slaves to hg version 2.5.4 also. This may involve delving into the old puppet setup a bit, unless we want to block on moving those configs to PuppetAgain(bug ",Release Engineering,version=2.1.1,1,,,,
880421,Bump migration currentUIVersions for removing text&icons mode and un-collapsing nav-bar in nsBrowserGlue.js It looks like a UI migration slipped in from m-c and nobody noticed - that'd be from bug 870112. Our numbers are off now - currentUIVersion < 13 is now applied to two migrations - the one from bug 870112 and the one from bug 573329. This means that the one for bug 870545 needs to be bumped too.,Firefox,const UI_VERSION = 14;,1,,,,
902125,"Add a version config/flag for Python Marionette (and JavaScript version too if we don't have one),I tried running marionette --version from the command line, but it didn't care for that one bit.

I asked in #ateam and we discussed possibly adding a marionette.__version__ flag.",Testing,parser = parser_class(usage='%prog [options] test_file_or_dir <test_file_or_dir> ...'),？,13,,,
925909,"pin versions of mozilla packages gps pointed out in http://gregoryszorc.com/blog/2013/07/16/analysis-of-firefox%27s-build-automation/ that we use ensure => latest for mozilla-built packages like Python and Mercurial.  Really, we should be specifying an explicit version there, so that it's easy to go back in hg history and use an older version, even when new versions are available in the repo.",Infrastructure & Operations,ensure => latest;,7,,,,
942566,"Translation update proposed for apps/settings/settings.properties:already-latest-version The string:
This is already the latest version of {{brandShortName}}

Is translated as:
Dies ist bereits die neueste Version von Firefox OS.

And should be:
Dies ist bereits die neueste Version von {{brandShortName}}.


Feedback via Transvision:",Mozilla Localizations,already-latest-version = Dies ist bereits die neueste Version von Firefox OS.,？,18,,,
963716,Bump gaiatest version to 0.21.4 and release to PyPI Once bug 963301 is fixed we should bump gaiatest and release a new version. That way the consumers of gaiatest can take advantage of the many recently landed new features.,Firefox OS,__version__ = '0.21.3',1,,,,
1003729,"Update version of pip installed on automation machines from 0.8.2 to 1.5.5 From this log:
https://tbpl.mozilla.org/php/getParsedLog.php?id=38772224&tree=Fx-Team#error3
Ubuntu VM 12.04 x64 fx-team pgo test mochitest-e10s-4
tst-linux64-spot-625

I happened to notice we're still using pip 0.8.2 which was released sometime before 2011.

We should update to something newer - current latest version is 1.5.4:
http://www.pip-installer.org/en/latest/news.html",Release Engineering,"""pip-0.8.2.tar.gz"": ;",？,3,,,
1005723,"Give string operator to ""Platform version"" field，STR
1. https://crash-stats.mozilla.com/search/?signature=~_fnNCDESTROY&_facets=platform_version&_columns=date&_columns=signature&_columns=product&_columns=version&_columns=build_id&_columns=platform
2. Go to platform version facet
3. Click ""6.0.6000"" --> This works
4. Go back to facet
5. Click ""6.0.6001 Service Pack 1"" --> No results

Also I would like to be able to get data like ""all crashes on Vista"" i.e. ""platform version begins with 6.0"" but there is no operator for that.", Socorro ,"SearchFilter('platform_version'),(search_common.py)                                    platform_version = form_fields.MultipleValueField(required=False)(forms.py)",5,"13,16",,,
1011514,Update Webmaker-auth version To v0.0.14,Webmaker,"""webmaker-auth"": ""0.0.11""",2,,,,
1055463,"Update webmaker-analytics version number in webmaker-auth-client I thought this was a simple upgrade, but I'm getting a build error on Travis: https://travis-ci.org/mozilla/webmaker-auth-client/builds/32946698

""Error: the compiled source does not match the committed build
You should run `grunt build` and commit the results to clear this error""

I ran grunt build, but it wasn't modifying any files.",Webmaker,"""webmaker-analytics"": ""~0.1.0""",2,,,,
1056037,"Bump manifestparser version and release to pypi We want to release mozmill 2.1 and we'll need to update the following packages and their dependencies once the blocking bugs have been fixed:
- mozrunner
- mozprofile
- manifestparser",Testing,PACKAGE_VERSION = '0.6,1,,,,
